Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=22 : (z,n+α) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ;  ;  ; 0.04417142 ;  ; 
1.0625E-5 ;  ;  ;  ;  ; 0.04285257 ;  ; 
1.125E-5 ;  ;  ;  ;  ; 0.04164521 ;  ; 
1.1875E-5 ;  ;  ;  ;  ; 0.04053447 ;  ; 
1.25E-5 ;  ;  ;  ;  ; 0.03950811 ;  ; 
1.375E-5 ;  ;  ;  ;  ; 0.03766951 ;  ; 
1.5E-5 ;  ;  ;  ;  ; 0.03606581 ;  ; 
1.625E-5 ;  ;  ;  ;  ; 0.03465091 ;  ; 
1.75E-5 ;  ;  ;  ;  ; 0.03339045 ;  ; 
1.875E-5 ;  ;  ;  ;  ; 0.03225824 ;  ; 
2.0E-5 ;  ;  ;  ;  ; 0.03123391 ;  ; 
2.1875E-5 ;  ;  ;  ;  ; 0.02986533 ;  ; 
2.375E-5 ;  ;  ;  ;  ; 0.0286622 ;  ; 
2.5625E-5 ;  ;  ;  ;  ; 0.02759366 ;  ; 
2.75E-5 ;  ;  ;  ;  ; 0.02663636 ;  ; 
2.9375E-5 ;  ;  ;  ;  ; 0.02577225 ;  ; 
3.125E-5 ;  ;  ;  ;  ; 0.02498712 ;  ; 
3.3125E-5 ;  ;  ;  ;  ; 0.02426964 ;  ; 
3.5E-5 ;  ;  ;  ;  ; 0.02361061 ;  ; 
3.875E-5 ;  ;  ;  ;  ; 0.0224391 ;  ; 
4.25E-5 ;  ;  ;  ;  ; 0.02142628 ;  ; 
4.625E-5 ;  ;  ;  ;  ; 0.02053929 ;  ; 
5.0E-5 ;  ;  ;  ;  ; 0.01975405 ;  ; 
5.3125E-5 ;  ;  ;  ;  ; 0.01916424 ;  ; 
5.625E-5 ;  ;  ;  ;  ; 0.0186243 ;  ; 
5.9375E-5 ;  ;  ;  ;  ; 0.01812756 ;  ; 
6.25E-5 ;  ;  ;  ;  ; 0.01766856 ;  ; 
6.875E-5 ;  ;  ;  ;  ; 0.01684631 ;  ; 
7.5E-5 ;  ;  ;  ;  ; 0.01612911 ;  ; 
8.125E-5 ;  ;  ;  ;  ; 0.01549635 ;  ; 
8.75E-5 ;  ;  ;  ;  ; 0.01493265 ;  ; 
9.375E-5 ;  ;  ;  ;  ; 0.01442631 ;  ; 
1.0E-4 ;  ;  ;  ;  ; 0.01396822 ;  ; 
1.0625E-4 ;  ;  ;  ;  ; 0.01355116 ;  ; 
1.125E-4 ;  ;  ;  ;  ; 0.01316936 ;  ; 
1.1875E-4 ;  ;  ;  ;  ; 0.01281811 ;  ; 
1.25E-4 ;  ;  ;  ;  ; 0.01249355 ;  ; 
1.375E-4 ;  ;  ;  ;  ; 0.01191213 ;  ; 
1.5E-4 ;  ;  ;  ;  ; 0.011405 ;  ; 
1.625E-4 ;  ;  ;  ;  ; 0.01095757 ;  ; 
1.75E-4 ;  ;  ;  ;  ; 0.01055897 ;  ; 
1.875E-4 ;  ;  ;  ;  ; 0.01020094 ;  ; 
2.0E-4 ;  ;  ;  ;  ; 0.009877013 ;  ; 
2.1875E-4 ;  ;  ;  ;  ; 0.009444229 ;  ; 
2.375E-4 ;  ;  ;  ;  ; 0.009063766 ;  ; 
2.5625E-4 ;  ;  ;  ;  ; 0.008725865 ;  ; 
2.75E-4 ;  ;  ;  ;  ; 0.00842314 ;  ; 
2.9375E-4 ;  ;  ;  ;  ; 0.008149883 ;  ; 
3.125E-4 ;  ;  ;  ;  ; 0.007901604 ;  ; 
3.3125E-4 ;  ;  ;  ;  ; 0.007674715 ;  ; 
3.5E-4 ;  ;  ;  ;  ; 0.007466312 ;  ; 
3.875E-4 ;  ;  ;  ;  ; 0.007095846 ;  ; 
4.25E-4 ;  ;  ;  ;  ; 0.006775565 ;  ; 
4.625E-4 ;  ;  ;  ;  ; 0.006495073 ;  ; 
5.0E-4 ;  ;  ;  ;  ; 0.006246761 ;  ; 
5.3125E-4 ;  ;  ;  ;  ; 0.006060248 ;  ; 
5.625E-4 ;  ;  ;  ;  ; 0.005889502 ;  ; 
5.9375E-4 ;  ;  ;  ;  ; 0.00573242 ;  ; 
6.25E-4 ;  ;  ;  ;  ; 0.005587272 ;  ; 
6.875E-4 ;  ;  ;  ;  ; 0.005327255 ;  ; 
7.5E-4 ;  ;  ;  ;  ; 0.005100458 ;  ; 
8.125E-4 ;  ;  ;  ;  ; 0.004900363 ;  ; 
8.75E-4 ;  ;  ;  ;  ; 0.004722108 ;  ; 
9.375E-4 ;  ;  ;  ;  ; 0.004561991 ;  ; 
0.001 ;  ;  ;  ;  ; 0.00441713 ;  ; 
0.0010625 ;  ;  ;  ;  ; 0.004285247 ;  ; 
0.001125 ;  ;  ;  ;  ; 0.004164513 ;  ; 
0.0011875 ;  ;  ;  ;  ; 0.004053441 ;  ; 
0.00125 ;  ;  ;  ;  ; 0.003950807 ;  ; 
0.001375 ;  ;  ;  ;  ; 0.00376695 ;  ; 
0.0015 ;  ;  ;  ;  ; 0.003606583 ;  ; 
0.001625 ;  ;  ;  ;  ; 0.003465096 ;  ; 
0.00175 ;  ;  ;  ;  ; 0.003339054 ;  ; 
0.001875 ;  ;  ;  ;  ; 0.003225836 ;  ; 
0.002 ;  ;  ;  ;  ; 0.003123406 ;  ; 
0.0021875 ;  ;  ;  ;  ; 0.002986553 ;  ; 
0.002375 ;  ;  ;  ;  ; 0.002866244 ;  ; 
0.0025625 ;  ;  ;  ;  ; 0.002759395 ;  ; 
0.00275 ;  ;  ;  ;  ; 0.002663668 ;  ; 
0.0029375 ;  ;  ;  ;  ; 0.002577259 ;  ; 
0.003125 ;  ;  ;  ;  ; 0.002498748 ;  ; 
0.0033125 ;  ;  ;  ;  ; 0.002427 ;  ; 
0.0035 ;  ;  ;  ;  ; 0.002361097 ;  ; 
0.003875 ;  ;  ;  ;  ; 0.002243944 ;  ; 
0.00425 ;  ;  ;  ;  ; 0.002142658 ;  ; 
0.004625 ;  ;  ;  ;  ; 0.002053954 ;  ; 
0.005 ;  ;  ;  ;  ; 0.001975426 ;  ; 
0.0053125 ;  ;  ;  ;  ; 0.001916441 ;  ; 
0.005625 ;  ;  ;  ;  ; 0.001862443 ;  ; 
0.0059375 ;  ;  ;  ;  ; 0.001812765 ;  ; 
0.00625 ;  ;  ;  ;  ; 0.00176686 ;  ; 
0.006875 ;  ;  ;  ;  ; 0.001684624 ;  ; 
0.0075 ;  ;  ;  ;  ; 0.001612891 ;  ; 
0.008125 ;  ;  ;  ;  ; 0.0015496 ;  ; 
0.00875 ;  ;  ;  ;  ; 0.00149322 ;  ; 
