Incident energy ; MT=16 : (z,2n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ; 1.505928 ;  ; 0.187486
1.0625E-5 ;  ; 1.460964 ;  ; 0.1818881
1.125E-5 ;  ; 1.419802 ;  ; 0.1767635
1.1875E-5 ;  ; 1.381934 ;  ; 0.1720489
1.25E-5 ;  ; 1.346943 ;  ; 0.1676926
1.375E-5 ;  ; 1.284259 ;  ; 0.1598886
1.5E-5 ;  ; 1.229585 ;  ; 0.1530817
1.625E-5 ;  ; 1.181347 ;  ; 0.1470761
1.75E-5 ;  ; 1.138374 ;  ; 0.1417261
1.875E-5 ;  ; 1.099774 ;  ; 0.1369204
2.0E-5 ;  ; 1.064852 ;  ; 0.1325726
2.1875E-5 ;  ; 1.018193 ;  ; 0.1267637
2.375E-5 ;  ; 0.9771749 ;  ; 0.121657
2.5625E-5 ;  ; 0.9407456 ;  ; 0.1171216
2.75E-5 ;  ; 0.9081086 ;  ; 0.1130583
2.9375E-5 ;  ; 0.8786485 ;  ; 0.1093906
3.125E-5 ;  ; 0.8518813 ;  ; 0.1060581
3.3125E-5 ;  ; 0.8274203 ;  ; 0.1030128
3.5E-5 ;  ; 0.8049522 ;  ; 0.1002155
3.75E-5 ;  ; 0.7776577 ;  ; 0.0968174
4.0E-5 ;  ; 0.7529638 ;  ; 0.09374305
4.25E-5 ;  ; 0.7304822 ;  ; 0.09094412
4.625E-5 ;  ; 0.7002421 ;  ; 0.08717927
5.0E-5 ;  ; 0.6734713 ;  ; 0.08384634
5.3125E-5 ;  ; 0.6533631 ;  ; 0.08134291
5.625E-5 ;  ; 0.6349548 ;  ; 0.0790511
5.9375E-5 ;  ; 0.6180197 ;  ; 0.07694269
6.25E-5 ;  ; 0.602371 ;  ; 0.07499446
6.875E-5 ;  ; 0.5743383 ;  ; 0.07150442
7.5E-5 ;  ; 0.549887 ;  ; 0.06846028
8.0E-5 ;  ; 0.5324258 ;  ; 0.06628638
8.75E-5 ;  ; 0.5090964 ;  ; 0.06338191
9.375E-5 ;  ; 0.4918339 ;  ; 0.06123275
1.0E-4 ;  ; 0.4762161 ;  ; 0.05928836
1.0625E-4 ;  ; 0.4619975 ;  ; 0.05751816
1.125E-4 ;  ; 0.4489808 ;  ; 0.05589761
1.1875E-4 ;  ; 0.4370058 ;  ; 0.05440674
1.25E-4 ;  ; 0.4259406 ;  ; 0.05302914
1.375E-4 ;  ; 0.4061184 ;  ; 0.0505613
1.5E-4 ;  ; 0.3888288 ;  ; 0.04840877
1.6E-4 ;  ; 0.3764818 ;  ; 0.04687159
1.75E-4 ;  ; 0.3599854 ;  ; 0.04481782
1.875E-4 ;  ; 0.347779 ;  ; 0.04329813
2.0E-4 ;  ; 0.3367355 ;  ; 0.04192324
2.173978E-4 ;  ; 0.3229805 ;  ; 0.04021076
2.347955E-4 ;  ; 0.3107842 ;  ; 0.03869235
2.521933E-4 ;  ; 0.2998728 ;  ; 0.03733389
2.69591E-4 ;  ; 0.2900355 ;  ; 0.03610915
2.75E-4 ;  ; 0.2871689 ;  ; 0.03575228
2.8625E-4 ;  ; 0.2814693 ;  ; 0.03504268
2.975E-4 ;  ; 0.2760961 ;  ; 0.03437372
3.2E-4 ;  ; 0.2662126 ;  ; 0.03314325
3.5E-4 ;  ; 0.2545479 ;  ; 0.03169101
3.875E-4 ;  ; 0.2419177 ;  ; 0.03011857
4.25E-4 ;  ; 0.2309984 ;  ; 0.02875913
4.625E-4 ;  ; 0.2214356 ;  ; 0.02756858
5.0E-4 ;  ; 0.2129699 ;  ; 0.02651461
5.3125E-4 ;  ; 0.2066111 ;  ; 0.02572295
5.625E-4 ;  ; 0.2007899 ;  ; 0.02499822
5.9375E-4 ;  ; 0.1954345 ;  ; 0.02433148
6.25E-4 ;  ; 0.190486 ;  ; 0.02371539
6.4E-4 ;  ; 0.1882405 ;  ; 0.02343583
6.95E-4 ;  ; 0.1806386 ;  ; 0.02248941
7.5E-4 ;  ; 0.173889 ;  ; 0.0216491
8.125E-4 ;  ; 0.1670671 ;  ; 0.02079978
8.75E-4 ;  ; 0.1609898 ;  ; 0.02004317
9.375E-4 ;  ; 0.1555309 ;  ; 0.01936354
0.001 ;  ; 0.1505921 ;  ; 0.01874867
0.0010625 ;  ; 0.1460957 ;  ; 0.01818888
0.001125 ;  ; 0.1419795 ;  ; 0.01767641
0.0011875 ;  ; 0.1381926 ;  ; 0.01720496
0.00125 ;  ; 0.1346935 ;  ; 0.01676932
0.00128 ;  ; 0.1331057 ;  ; 0.01657164
0.00139 ;  ; 0.1277303 ;  ; 0.01590241
0.0015 ;  ; 0.1229576 ;  ; 0.01530823
0.001625 ;  ; 0.1181338 ;  ; 0.01470767
0.00175 ;  ; 0.1138366 ;  ; 0.01417266
0.001875 ;  ; 0.1099766 ;  ; 0.01369209
0.002 ;  ; 0.1064844 ;  ; 0.01325731
0.00214 ;  ; 0.1029424 ;  ; 0.01281632
0.00228 ;  ; 0.09973185 ;  ; 0.01241661
0.00242 ;  ; 0.09680414 ;  ; 0.0120521
0.00256 ;  ; 0.09412002 ;  ; 0.01171792
0.00275 ;  ; 0.09081055 ;  ; 0.01130587
0.0029375 ;  ; 0.08786469 ;  ; 0.0109391
0.003125 ;  ; 0.08518813 ;  ; 0.01060585
0.0033125 ;  ; 0.08274217 ;  ; 0.01030132
0.0035 ;  ; 0.08049549 ;  ; 0.01002159
0.003875 ;  ; 0.07650166 ;  ; 0.009524343
0.00425 ;  ; 0.07304873 ;  ; 0.009094447
0.004625 ;  ; 0.0700246 ;  ; 0.008717953
0.005 ;  ; 0.06734721 ;  ; 0.00838465
0.00512 ;  ; 0.06655318 ;  ; 0.008285808
0.0054025 ;  ; 0.06478941 ;  ; 0.008066259
0.005685 ;  ; 0.06315872 ;  ; 0.007863289
0.00625 ;  ; 0.06023552 ;  ; 0.007499454
0.006875 ;  ; 0.05743167 ;  ; 0.007150462
0.0075 ;  ; 0.05498649 ;  ; 0.006846062
0.008125 ;  ; 0.05282964 ;  ; 0.006577495
0.00875 ;  ; 0.05090855 ;  ; 0.006338236
