Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=102 : (z,γ) ; MT=103 : (z,p) ; MT=107 : (z,α)
Incident energy ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 80.19144 ;  ; 
1.0625E-5 ;  ;  ; 77.79713 ;  ; 
1.125E-5 ;  ;  ; 75.60522 ;  ; 
1.1875E-5 ;  ;  ; 73.58872 ;  ; 
1.25E-5 ;  ;  ; 71.72542 ;  ; 
1.375E-5 ;  ;  ; 68.38751 ;  ; 
1.5E-5 ;  ;  ; 65.47606 ;  ; 
1.625E-5 ;  ;  ; 62.90736 ;  ; 
1.75E-5 ;  ;  ; 60.61905 ;  ; 
1.875E-5 ;  ;  ; 58.56357 ;  ; 
2.0E-5 ;  ;  ; 56.70394 ;  ; 
2.1875E-5 ;  ;  ; 54.21934 ;  ; 
2.375E-5 ;  ;  ; 52.03511 ;  ; 
2.5625E-5 ;  ;  ; 50.09523 ;  ; 
2.75E-5 ;  ;  ; 48.35729 ;  ; 
2.9375E-5 ;  ;  ; 46.78853 ;  ; 
3.125E-5 ;  ;  ; 45.36317 ;  ; 
3.3125E-5 ;  ;  ; 44.06061 ;  ; 
3.5E-5 ;  ;  ; 42.86417 ;  ; 
3.875E-5 ;  ;  ; 40.73734 ;  ; 
4.25E-5 ;  ;  ; 38.89861 ;  ; 
4.625E-5 ;  ;  ; 37.28831 ;  ; 
5.0E-5 ;  ;  ; 35.86275 ;  ; 
5.3125E-5 ;  ;  ; 34.79198 ;  ; 
5.625E-5 ;  ;  ; 33.81173 ;  ; 
5.9375E-5 ;  ;  ; 32.90993 ;  ; 
6.25E-5 ;  ;  ; 32.07663 ;  ; 
6.875E-5 ;  ;  ; 30.58387 ;  ; 
7.5E-5 ;  ;  ; 29.28183 ;  ; 
8.125E-5 ;  ;  ; 28.13308 ;  ; 
8.75E-5 ;  ;  ; 27.10972 ;  ; 
9.375E-5 ;  ;  ; 26.19048 ;  ; 
1.0E-4 ;  ;  ; 25.35883 ;  ; 
1.0625E-4 ;  ;  ; 24.60168 ;  ; 
1.125E-4 ;  ;  ; 23.90853 ;  ; 
1.1875E-4 ;  ;  ; 23.27086 ;  ; 
1.25E-4 ;  ;  ; 22.68163 ;  ; 
1.375E-4 ;  ;  ; 21.62609 ;  ; 
1.5E-4 ;  ;  ; 20.70541 ;  ; 
1.625E-4 ;  ;  ; 19.89312 ;  ; 
1.75E-4 ;  ;  ; 19.16949 ;  ; 
1.875E-4 ;  ;  ; 18.51949 ;  ; 
2.0E-4 ;  ;  ; 17.93142 ;  ; 
2.1875E-4 ;  ;  ; 17.14572 ;  ; 
2.375E-4 ;  ;  ; 16.455 ;  ; 
2.5625E-4 ;  ;  ; 15.84155 ;  ; 
2.75E-4 ;  ;  ; 15.29197 ;  ; 
2.9375E-4 ;  ;  ; 14.79588 ;  ; 
3.125E-4 ;  ;  ; 14.34514 ;  ; 
3.3125E-4 ;  ;  ; 13.93323 ;  ; 
3.5E-4 ;  ;  ; 13.55488 ;  ; 
3.875E-4 ;  ;  ; 12.88231 ;  ; 
4.25E-4 ;  ;  ; 12.30085 ;  ; 
4.625E-4 ;  ;  ; 11.79163 ;  ; 
5.0E-4 ;  ;  ; 11.34083 ;  ; 
5.3125E-4 ;  ;  ; 11.00222 ;  ; 
5.625E-4 ;  ;  ; 10.69224 ;  ; 
5.9375E-4 ;  ;  ; 10.40706 ;  ; 
6.25E-4 ;  ;  ; 10.14355 ;  ; 
6.875E-4 ;  ;  ; 9.671505 ;  ; 
7.5E-4 ;  ;  ; 9.259769 ;  ; 
8.125E-4 ;  ;  ; 8.896508 ;  ; 
8.75E-4 ;  ;  ; 8.5729 ;  ; 
9.375E-4 ;  ;  ; 8.282219 ;  ; 
0.001 ;  ;  ; 8.019235 ;  ; 
0.0010625 ;  ;  ; 7.779813 ;  ; 
0.001125 ;  ;  ; 7.560631 ;  ; 
0.0011875 ;  ;  ; 7.358989 ;  ; 
0.00125 ;  ;  ; 7.172666 ;  ; 
0.001375 ;  ;  ; 6.83889 ;  ; 
0.0015 ;  ;  ; 6.547757 ;  ; 
0.001625 ;  ;  ; 6.290899 ;  ; 
0.00175 ;  ;  ; 6.062078 ;  ; 
0.001875 ;  ;  ; 5.856539 ;  ; 
0.002 ;  ;  ; 5.670585 ;  ; 
0.0021875 ;  ;  ; 5.422141 ;  ; 
0.002375 ;  ;  ; 5.203735 ;  ; 
0.0025625 ;  ;  ; 5.009767 ;  ; 
0.00275 ;  ;  ; 4.835994 ;  ; 
0.0029375 ;  ;  ; 4.679138 ;  ; 
0.003125 ;  ;  ; 4.53662 ;  ; 
0.0033125 ;  ;  ; 4.406379 ;  ; 
0.0035 ;  ;  ; 4.286747 ;  ; 
0.003875 ;  ;  ; 4.074072 ;  ; 
0.00425 ;  ;  ; 3.890195 ;  ; 
0.004625 ;  ;  ; 3.729155 ;  ; 
0.005 ;  ;  ; 3.586592 ;  ; 
0.0053125 ;  ;  ; 3.479515 ;  ; 
0.005625 ;  ;  ; 3.381496 ;  ; 0.0
0.0059375 ;  ;  ; 3.291325 ;  ; 1.03189E-15
0.00625 ;  ;  ; 3.208005 ;  ; 1.08163E-15
0.006875 ;  ;  ; 3.05874 ;  ; 1.18112E-15
0.0075 ;  ;  ; 2.928526 ;  ; 1.28062E-15
0.008125 ;  ;  ; 2.813622 ;  ; 1.38013E-15
0.00875 ;  ;  ; 2.711251 ;  ; 1.47964E-15
0.009375 ;  ;  ; 2.619304 ;  ; 1.57916E-15
0.01 ;  ;  ; 2.536138 ;  ; 1.67868E-15
0.010625 ;  ;  ; 2.460448 ;  ; 1.7782E-15
0.01125 ;  ;  ; 2.39118 ;  ; 1.87773E-15
0.011875 ;  ;  ; 2.327472 ;  ; 1.97726E-15
0.0125 ;  ;  ; 2.268609 ;  ; 2.07679E-15
0.01375 ;  ;  ; 2.163142 ;  ; 2.27585E-15
0.015 ;  ;  ; 2.071093 ;  ; 2.47492E-15
0.01625 ;  ;  ; 1.989834 ;  ; 2.67399E-15
0.0175 ;  ;  ; 1.917425 ;  ; 2.87307E-15
0.01875 ;  ;  ; 1.852384 ;  ; 3.07214E-15
0.02 ;  ;  ; 1.793551 ;  ; 3.27122E-15
0.021325 ;  ;  ; 1.736941 ;  ; 3.48225E-15
