Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=102 : (z,γ)
Incident energy ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 1591.872 ; 3374.128
1.0625E-5 ;  ;  ; 1544.341 ; 3273.389
1.125E-5 ;  ;  ; 1500.829 ; 3181.166
1.1875E-5 ;  ;  ; 1460.799 ; 3096.323
1.25E-5 ;  ;  ; 1423.81 ; 3017.927
1.375E-5 ;  ;  ; 1357.548 ; 2877.487
1.5E-5 ;  ;  ; 1299.752 ; 2754.991
1.625E-5 ;  ;  ; 1248.76 ; 2646.916
1.75E-5 ;  ;  ; 1203.334 ; 2550.639
1.875E-5 ;  ;  ; 1162.53 ; 2464.157
2.0E-5 ;  ;  ; 1125.613 ; 2385.916
2.1875E-5 ;  ;  ; 1076.29 ; 2281.381
2.375E-5 ;  ;  ; 1032.93 ; 2189.483
2.5625E-5 ;  ;  ; 994.4206 ; 2107.867
2.75E-5 ;  ;  ; 959.9199 ; 2034.747
2.9375E-5 ;  ;  ; 928.7775 ; 1968.745
3.125E-5 ;  ;  ; 900.4817 ; 1908.776
3.3125E-5 ;  ;  ; 874.6237 ; 1853.974
3.5E-5 ;  ;  ; 850.8724 ; 1803.637
3.875E-5 ;  ;  ; 808.651 ; 1714.157
4.25E-5 ;  ;  ; 772.1489 ; 1636.798
4.625E-5 ;  ;  ; 740.1815 ; 1569.051
5.0E-5 ;  ;  ; 711.8814 ; 1509.076
5.3125E-5 ;  ;  ; 690.6244 ; 1464.028
5.625E-5 ;  ;  ; 671.1644 ; 1422.788
5.9375E-5 ;  ;  ; 653.2616 ; 1384.849
6.25E-5 ;  ;  ; 636.7189 ; 1349.792
6.875E-5 ;  ;  ; 607.0842 ; 1286.992
7.5E-5 ;  ;  ; 581.2356 ; 1232.216
8.125E-5 ;  ;  ; 558.4299 ; 1183.89
8.75E-5 ;  ;  ; 538.1134 ; 1140.839
9.375E-5 ;  ;  ; 519.864 ; 1102.168
1.0E-4 ;  ;  ; 503.3532 ; 1067.183
1.0625E-4 ;  ;  ; 488.3215 ; 1035.332
1.125E-4 ;  ;  ; 474.5605 ; 1006.174
1.1875E-4 ;  ;  ; 461.9006 ; 979.3502
1.25E-4 ;  ;  ; 450.2024 ; 954.5641
1.375E-4 ;  ;  ; 429.2461 ; 910.1633
1.5E-4 ;  ;  ; 410.967 ; 871.4362
1.625E-4 ;  ;  ; 394.8397 ; 837.2691
1.75E-4 ;  ;  ; 380.4725 ; 806.8321
1.875E-4 ;  ;  ; 367.567 ; 779.4927
2.0E-4 ;  ;  ; 355.8909 ; 754.7587
2.1875E-4 ;  ;  ; 340.2907 ; 721.7133
2.375E-4 ;  ;  ; 326.5761 ; 692.6638
2.5625E-4 ;  ;  ; 314.3955 ; 666.8649
2.75E-4 ;  ;  ; 303.4827 ; 643.7525
2.9375E-4 ;  ;  ; 293.632 ; 622.8907
3.125E-4 ;  ;  ; 284.6815 ; 603.9363
3.3125E-4 ;  ;  ; 276.5019 ; 586.6156
3.5E-4 ;  ;  ; 268.9887 ; 570.7066
3.875E-4 ;  ;  ; 255.6324 ; 542.4276
4.25E-4 ;  ;  ; 244.0849 ; 517.9809
4.625E-4 ;  ;  ; 233.9716 ; 496.5728
5.0E-4 ;  ;  ; 225.0182 ; 477.6221
5.3125E-4 ;  ;  ; 218.2929 ; 463.3887
5.625E-4 ;  ;  ; 212.1359 ; 450.3593
5.9375E-4 ;  ;  ; 206.4715 ; 438.3734
6.25E-4 ;  ;  ; 201.2372 ; 427.2987
6.875E-4 ;  ;  ; 191.8603 ; 407.4615
7.5E-4 ;  ;  ; 183.6809 ; 390.161
8.125E-4 ;  ;  ; 176.4641 ; 374.8992
8.75E-4 ;  ;  ; 170.0348 ; 361.3052
9.375E-4 ;  ;  ; 164.2594 ; 349.096
0.001 ;  ;  ; 159.034 ; 338.0515
0.0010625 ;  ;  ; 154.2765 ; 327.9979
0.001125 ;  ;  ; 149.9209 ; 318.7953
0.0011875 ;  ;  ; 145.9137 ; 310.3302
0.00125 ;  ;  ; 142.2107 ; 302.5092
0.001375 ;  ;  ; 135.5766 ; 288.5013
0.0015 ;  ;  ; 129.7894 ; 276.2858
0.001625 ;  ;  ; 124.6827 ; 265.5109
0.00175 ;  ;  ; 120.1328 ; 255.9142
0.001875 ;  ;  ; 116.0452 ; 247.2959
0.002 ;  ;  ; 112.3466 ; 239.5005
0.0021875 ;  ;  ; 107.4043 ; 229.0885
0.002375 ;  ;  ; 103.0588 ; 219.9389
0.0025625 ;  ;  ; 99.19902 ; 211.8164
0.00275 ;  ;  ; 95.74067 ; 204.5427
0.0029375 ;  ;  ; 92.61865 ; 197.98
0.003125 ;  ;  ; 89.78165 ; 192.0197
0.0033125 ;  ;  ; 87.18866 ; 186.5751
0.0035 ;  ;  ; 84.80642 ; 181.5757
0.003875 ;  ;  ; 80.56998 ; 172.6925
0.00425 ;  ;  ; 76.90523 ; 165.0166
0.004625 ;  ;  ; 73.6941 ; 158.2983
0.005 ;  ;  ; 70.85041 ; 152.3554
0.0053125 ;  ;  ; 68.71415 ; 147.8955
0.005625 ;  ;  ; 66.75836 ; 143.8162
0.0059375 ;  ;  ; 64.95895 ; 140.0666
0.00625 ;  ;  ; 63.29596 ; 136.6046
0.006875 ;  ;  ; 60.31551 ; 130.4086
0.0075 ;  ;  ; 57.71344 ; 125.0094
0.008125 ;  ;  ; 55.41544 ; 120.2502
0.00875 ;  ;  ; 53.36669 ; 116.0153
0.009375 ;  ;  ; 51.5255 ; 112.2168
0.01 ;  ;  ; 49.85939 ; 108.7862
0.010625 ;  ;  ; 48.34257 ; 105.6691
0.01125 ;  ;  ; 46.95413 ; 102.8214
0.011875 ;  ;  ; 45.67681 ; 100.2068
0.0125 ;  ;  ; 44.49622 ; 97.79503
0.01375 ;  ;  ; 42.37897 ; 93.48255
0.015 ;  ;  ; 40.52833 ; 89.72817
0.01625 ;  ;  ; 38.89264 ; 86.42327
0.0175 ;  ;  ; 37.43388 ; 83.48797
0.01875 ;  ;  ; 36.12259 ; 80.86039
0.02 ;  ;  ; 34.93546 ; 78.49169
