Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=41 : (z,2n+p) ; MT=28 : (z,n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ; 1.044455 ;  ;  ; 12549.95 ; 
1.0625E-5 ;  ;  ; 1.013271 ;  ;  ; 12175.15 ; 
1.125E-5 ;  ;  ; 0.9847221 ;  ;  ; 11832.04 ; 
1.1875E-5 ;  ;  ; 0.9584582 ;  ;  ; 11516.38 ; 
1.25E-5 ;  ;  ; 0.9341895 ;  ;  ; 11224.69 ; 
1.375E-5 ;  ;  ; 0.8907148 ;  ;  ; 10702.17 ; 
1.5E-5 ;  ;  ; 0.8527946 ;  ;  ; 10246.4 ; 
1.625E-5 ;  ;  ; 0.8193386 ;  ;  ; 9844.283 ; 
1.75E-5 ;  ;  ; 0.7895345 ;  ;  ; 9486.053 ; 
1.875E-5 ;  ;  ; 0.7627629 ;  ;  ; 9164.266 ; 
2.0E-5 ;  ;  ; 0.738542 ;  ;  ; 8873.135 ; 
2.1875E-5 ;  ;  ; 0.7061813 ;  ;  ; 8484.157 ; 
2.375E-5 ;  ;  ; 0.6777329 ;  ;  ; 8142.196 ; 
2.5625E-5 ;  ;  ; 0.6524669 ;  ;  ; 7838.485 ; 
2.75E-5 ;  ;  ; 0.6298311 ;  ;  ; 7566.383 ; 
2.9375E-5 ;  ;  ; 0.6093988 ;  ;  ; 7320.764 ; 
3.125E-5 ;  ;  ; 0.5908341 ;  ;  ; 7097.591 ; 
3.3125E-5 ;  ;  ; 0.5738689 ;  ;  ; 6893.641 ; 
3.5E-5 ;  ;  ; 0.5582859 ;  ;  ; 6706.304 ; 
3.875E-5 ;  ;  ; 0.5305849 ;  ;  ; 6373.275 ; 
4.25E-5 ;  ;  ; 0.5066364 ;  ;  ; 6085.347 ; 
4.625E-5 ;  ;  ; 0.4856631 ;  ;  ; 5833.178 ; 
5.0E-5 ;  ;  ; 0.4670959 ;  ;  ; 5609.929 ; 
5.3125E-5 ;  ;  ; 0.4531497 ;  ;  ; 5442.235 ; 
5.625E-5 ;  ;  ; 0.4403824 ;  ;  ; 5288.712 ; 
5.9375E-5 ;  ;  ; 0.4286368 ;  ;  ; 5147.469 ; 
6.25E-5 ;  ;  ; 0.4177836 ;  ;  ; 5016.952 ; 
6.875E-5 ;  ;  ; 0.3983411 ;  ;  ; 4783.132 ; 
7.5E-5 ;  ;  ; 0.3813827 ;  ;  ; 4579.171 ; 
8.125E-5 ;  ;  ; 0.3664208 ;  ;  ; 4399.209 ; 
8.75E-5 ;  ;  ; 0.353092 ;  ;  ; 4238.879 ; 
9.375E-5 ;  ;  ; 0.3411193 ;  ;  ; 4094.852 ; 
1.0E-4 ;  ;  ; 0.3302875 ;  ;  ; 3964.538 ; 
1.0625E-4 ;  ;  ; 0.320426 ;  ;  ; 3845.89 ; 
1.125E-4 ;  ;  ; 0.3113981 ;  ;  ; 3737.265 ; 
1.1875E-4 ;  ;  ; 0.3030927 ;  ;  ; 3637.325 ; 
1.25E-4 ;  ;  ; 0.2954183 ;  ;  ; 3544.97 ; 
1.375E-4 ;  ;  ; 0.2816704 ;  ;  ; 3379.51 ; 
1.5E-4 ;  ;  ; 0.2696789 ;  ;  ; 3235.169 ; 
1.625E-4 ;  ;  ; 0.2590991 ;  ;  ; 3107.802 ; 
1.75E-4 ;  ;  ; 0.2496742 ;  ;  ; 2994.322 ; 
1.875E-4 ;  ;  ; 0.2412082 ;  ;  ; 2892.373 ; 
2.0E-4 ;  ;  ; 0.2335488 ;  ;  ; 2800.125 ; 
2.1875E-4 ;  ;  ; 0.2233154 ;  ;  ; 2676.853 ; 
2.375E-4 ;  ;  ; 0.214319 ;  ;  ; 2568.46 ; 
2.5625E-4 ;  ;  ; 0.2063291 ;  ;  ; 2472.173 ; 
2.75E-4 ;  ;  ; 0.1991709 ;  ;  ; 2385.891 ; 
2.9375E-4 ;  ;  ; 0.1927095 ;  ;  ; 2307.991 ; 
3.125E-4 ;  ;  ; 0.1868387 ;  ;  ; 2237.197 ; 
3.3125E-4 ;  ;  ; 0.1814737 ;  ;  ; 2172.488 ; 
3.5E-4 ;  ;  ; 0.1765457 ;  ;  ; 2113.039 ; 
3.875E-4 ;  ;  ; 0.1677856 ;  ;  ; 2007.327 ; 
4.25E-4 ;  ;  ; 0.1602122 ;  ;  ; 1915.896 ; 
4.625E-4 ;  ;  ; 0.1535795 ;  ;  ; 1835.791 ; 
5.0E-4 ;  ;  ; 0.1477078 ;  ;  ; 1764.846 ; 
5.3125E-4 ;  ;  ; 0.1432975 ;  ;  ; 1711.538 ; 
5.625E-4 ;  ;  ; 0.1392599 ;  ;  ; 1662.719 ; 
5.9375E-4 ;  ;  ; 0.1355455 ;  ;  ; 1617.792 ; 
6.25E-4 ;  ;  ; 0.1321133 ;  ;  ; 1576.264 ; 
6.875E-4 ;  ;  ; 0.1259648 ;  ;  ; 1501.835 ; 
7.5E-4 ;  ;  ; 0.120602 ;  ;  ; 1436.872 ; 
8.125E-4 ;  ;  ; 0.1158706 ;  ;  ; 1379.52 ; 
8.75E-4 ;  ;  ; 0.1116557 ;  ;  ; 1328.395 ; 
9.375E-4 ;  ;  ; 0.1078697 ;  ;  ; 1282.442 ; 
0.001 ;  ;  ; 0.1044445 ;  ;  ; 1240.841 ; 
0.0010625 ;  ;  ; 0.1013262 ;  ;  ; 1202.943 ; 
0.001125 ;  ;  ; 0.09847154 ;  ;  ; 1168.227 ; 
0.0011875 ;  ;  ; 0.09584534 ;  ;  ; 1136.269 ; 
0.00125 ;  ;  ; 0.09341866 ;  ;  ; 1106.72 ; 
0.001375 ;  ;  ; 0.08907152 ;  ;  ; 1053.737 ; 
0.0015 ;  ;  ; 0.08527974 ;  ;  ; 1007.465 ; 
0.001625 ;  ;  ; 0.08193427 ;  ;  ; 966.59 ; 
0.00175 ;  ;  ; 0.07895387 ;  ;  ; 930.1313 ; 
0.001875 ;  ;  ; 0.07627661 ;  ;  ; 897.342 ; 
0.002 ;  ;  ; 0.07385436 ;  ;  ; 867.641 ; 
0.0021875 ;  ;  ; 0.07061796 ;  ;  ; 827.9004 ; 
0.002375 ;  ;  ; 0.06777279 ;  ;  ; 792.9044 ; 
0.0025625 ;  ;  ; 0.06524597 ;  ;  ; 761.7726 ; 
0.00275 ;  ;  ; 0.06298235 ;  ;  ; 733.8384 ; 
0.0029375 ;  ;  ; 0.0609393 ;  ;  ; 708.5859 ; 
0.003125 ;  ;  ; 0.05908323 ;  ;  ; 685.609 ; 
0.0033125 ;  ;  ; 0.05738729 ;  ;  ; 664.5823 ; 
0.0035 ;  ;  ; 0.05582969 ;  ;  ; 645.2422 ; 
