Incident energy ; MT=16 : (z,2n) ; MT=17 : (z,3n) ; MT=18 : (z,fission) ; MT=28 : (z,n+p) ; MT=41 : (z,2n+p) ; MT=102 : (z,γ) ; MT=103 : (z,p)
Incident energy ;  ;  ;  ;  ;  ;  ; 
Incident energy ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E) ; σ(E)
1.0E-5 ;  ;  ;  ;  ;  ; 2409.534 ; 
1.0625E-5 ;  ;  ;  ;  ;  ; 2337.584 ; 
1.125E-5 ;  ;  ;  ;  ;  ; 2271.715 ; 
1.1875E-5 ;  ;  ;  ;  ;  ; 2211.118 ; 
1.25E-5 ;  ;  ;  ;  ;  ; 2155.124 ; 
1.375E-5 ;  ;  ;  ;  ;  ; 2054.816 ; 
1.5E-5 ;  ;  ;  ;  ;  ; 1967.323 ; 
1.625E-5 ;  ;  ;  ;  ;  ; 1890.13 ; 
1.75E-5 ;  ;  ;  ;  ;  ; 1821.363 ; 
1.875E-5 ;  ;  ;  ;  ;  ; 1759.592 ; 
2.0E-5 ;  ;  ;  ;  ;  ; 1703.706 ; 
2.1875E-5 ;  ;  ;  ;  ;  ; 1629.038 ; 
2.375E-5 ;  ;  ;  ;  ;  ; 1563.396 ; 
2.5625E-5 ;  ;  ;  ;  ;  ; 1505.097 ; 
2.75E-5 ;  ;  ;  ;  ;  ; 1452.866 ; 
2.9375E-5 ;  ;  ;  ;  ;  ; 1405.72 ; 
3.125E-5 ;  ;  ;  ;  ;  ; 1362.882 ; 
3.3125E-5 ;  ;  ;  ;  ;  ; 1323.734 ; 
3.5E-5 ;  ;  ;  ;  ;  ; 1287.776 ; 
3.875E-5 ;  ;  ;  ;  ;  ; 1223.854 ; 
4.25E-5 ;  ;  ;  ;  ;  ; 1168.59 ; 
4.625E-5 ;  ;  ;  ;  ;  ; 1120.191 ; 
5.0E-5 ;  ;  ;  ;  ;  ; 1077.343 ; 
5.3125E-5 ;  ;  ;  ;  ;  ; 1045.159 ; 
5.625E-5 ;  ;  ;  ;  ;  ; 1015.695 ; 
5.9375E-5 ;  ;  ;  ;  ;  ; 988.5878 ; 
6.25E-5 ;  ;  ;  ;  ;  ; 963.5399 ; 
6.875E-5 ;  ;  ;  ;  ;  ; 918.668 ; 
7.5E-5 ;  ;  ;  ;  ;  ; 879.5278 ; 
8.125E-5 ;  ;  ;  ;  ;  ; 844.9943 ; 
8.75E-5 ;  ;  ;  ;  ;  ; 814.2293 ; 
9.375E-5 ;  ;  ;  ;  ;  ; 786.5935 ; 
1.0E-4 ;  ;  ;  ;  ;  ; 761.59 ; 
1.0625E-4 ;  ;  ;  ;  ;  ; 738.8257 ; 
1.125E-4 ;  ;  ;  ;  ;  ; 717.9851 ; 
1.1875E-4 ;  ;  ;  ;  ;  ; 698.8115 ; 
1.25E-4 ;  ;  ;  ;  ;  ; 681.094 ; 
1.375E-4 ;  ;  ;  ;  ;  ; 649.3534 ; 
1.5E-4 ;  ;  ;  ;  ;  ; 621.6661 ; 
1.625E-4 ;  ;  ;  ;  ;  ; 597.2367 ; 
1.75E-4 ;  ;  ;  ;  ;  ; 575.4724 ; 
1.875E-4 ;  ;  ;  ;  ;  ; 555.9211 ; 
2.0E-4 ;  ;  ;  ;  ;  ; 538.2315 ; 
2.1875E-4 ;  ;  ;  ;  ;  ; 514.5949 ; 
2.375E-4 ;  ;  ;  ;  ;  ; 493.8136 ; 
2.5625E-4 ;  ;  ;  ;  ;  ; 475.3552 ; 
2.75E-4 ;  ;  ;  ;  ;  ; 458.8166 ; 
2.9375E-4 ;  ;  ;  ;  ;  ; 443.8863 ; 
3.125E-4 ;  ;  ;  ;  ;  ; 430.3194 ; 
3.3125E-4 ;  ;  ;  ;  ;  ; 417.9201 ; 
3.5E-4 ;  ;  ;  ;  ;  ; 406.5298 ; 
3.875E-4 ;  ;  ;  ;  ;  ; 386.2788 ; 
4.25E-4 ;  ;  ;  ;  ;  ; 368.7675 ; 
4.625E-4 ;  ;  ;  ;  ;  ; 353.4285 ; 
5.0E-4 ;  ;  ;  ;  ;  ; 339.8465 ; 
5.3125E-4 ;  ;  ;  ;  ;  ; 329.6428 ; 
5.625E-4 ;  ;  ;  ;  ;  ; 320.3002 ; 
5.9375E-4 ;  ;  ;  ;  ;  ; 311.7038 ; 
6.25E-4 ;  ;  ;  ;  ;  ; 303.7592 ; 
6.875E-4 ;  ;  ;  ;  ;  ; 289.5238 ; 
7.5E-4 ;  ;  ;  ;  ;  ; 277.1033 ; 
8.125E-4 ;  ;  ;  ;  ;  ; 266.1414 ; 
8.75E-4 ;  ;  ;  ;  ;  ; 256.3731 ; 
9.375E-4 ;  ;  ;  ;  ;  ; 247.5959 ; 
0.001 ;  ;  ;  ;  ;  ; 239.6525 ; 
0.0010625 ;  ;  ;  ;  ;  ; 232.4185 ; 
0.001125 ;  ;  ;  ;  ;  ; 225.7939 ; 
0.0011875 ;  ;  ;  ;  ;  ; 219.6975 ; 
0.00125 ;  ;  ;  ;  ;  ; 214.0625 ; 
0.001375 ;  ;  ;  ;  ;  ; 203.9632 ; 
0.0015 ;  ;  ;  ;  ;  ; 195.1485 ; 
0.001625 ;  ;  ;  ;  ;  ; 187.3665 ; 
0.00175 ;  ;  ;  ;  ;  ; 180.4294 ; 
0.001875 ;  ;  ;  ;  ;  ; 174.1941 ; 
0.002 ;  ;  ;  ;  ;  ; 168.5493 ; 
0.0021875 ;  ;  ;  ;  ;  ; 161.0018 ; 
0.002375 ;  ;  ;  ;  ;  ; 154.3609 ; 
0.0025625 ;  ;  ;  ;  ;  ; 148.4579 ; 
0.00275 ;  ;  ;  ;  ;  ; 143.1652 ; 
0.0029375 ;  ;  ;  ;  ;  ; 138.3839 ; 
0.003125 ;  ;  ;  ;  ;  ; 134.0361 ; 
0.0033125 ;  ;  ;  ;  ;  ; 130.0596 ; 
0.0035 ;  ;  ;  ;  ;  ; 126.4038 ; 
0.003875 ;  ;  ;  ;  ;  ; 119.8961 ; 
0.00425 ;  ;  ;  ;  ;  ; 114.2594 ; 
0.004625 ;  ;  ;  ;  ;  ; 109.3141 ; 
0.005 ;  ;  ;  ;  ;  ; 104.9294 ; 
0.0053125 ;  ;  ;  ;  ;  ; 101.6319 ; 
0.005625 ;  ;  ;  ;  ;  ; 98.61011 ; 
0.0059375 ;  ;  ;  ;  ;  ; 95.82732 ; 
0.00625 ;  ;  ;  ;  ;  ; 93.25317 ; 
0.006875 ;  ;  ;  ;  ;  ; 88.63364 ; 
0.0075 ;  ;  ;  ;  ;  ; 84.59369 ; 
0.008125 ;  ;  ;  ;  ;  ; 81.02008 ; 
0.00875 ;  ;  ;  ;  ;  ; 77.8292 ; 
0.009375 ;  ;  ;  ;  ;  ; 74.95744 ; 
0.01 ;  ;  ;  ;  ;  ; 72.35522 ; 
0.010625 ;  ;  ;  ;  ;  ; 69.98309 ; 
